"Plot Title: 10723440"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10723440, SEN S/N: 10723440)","Coupler Detached (LGR S/N: 10723440, SEN S/N: 10723440)","End Of File (LGR S/N: 10723440, SEN S/N: 10723440)"
1,10/11/15 08:18:12,14.649,,
2,10/11/15 08:18:18,,Logged,
3,10/11/15 08:23:12,17.106,,
4,10/11/15 08:28:12,16.177,,
5,10/11/15 08:33:12,13.112,,
6,10/11/15 08:38:12,10.883,,
7,10/11/15 08:43:12,9.435,,
8,10/11/15 08:48:12,8.419,,
9,10/11/15 08:53:12,7.795,,
10,10/11/15 08:58:12,7.393,,
11,09/04/16 05:38:12,3.932,,
12,09/04/16 05:43:12,3.932,,Logged
