"Plot Title: 10723450"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10723450, SEN S/N: 10723450)","Coupler Detached (LGR S/N: 10723450, SEN S/N: 10723450)","End Of File (LGR S/N: 10723450, SEN S/N: 10723450)"
1,10/11/15 08:14:25,13.353,,
2,10/11/15 08:14:31,,Logged,
3,10/11/15 08:19:25,15.891,,
4,10/11/15 08:24:25,17.296,,
5,10/11/15 08:29:25,15.414,,
6,10/11/15 08:34:25,12.968,,
7,10/11/15 08:39:25,11.394,,
8,10/11/15 08:44:25,10.320,,
9,10/11/15 08:49:25,9.558,,
10,10/11/15 08:54:25,9.064,,
11,10/11/15 08:59:25,8.817,,
12,10/11/15 09:04:25,8.941,,
13,10/11/15 09:09:25,9.386,,
14,10/11/15 09:14:25,9.928,,
15,09/04/16 05:34:25,3.932,,
16,09/04/16 05:39:25,3.906,,Logged
